% ============================================================================ 
%  This file contains customized sorting keys for non decomposable characters 
%  Name     :  sort_kan_IN_strings.txt 
%  
%  Description : ELOCL.DLL for ELangkannada, ELOCL.xx 
%  Generated on : Mon Mar 26 18:41:17 2007 
%  Language : kannada 
%  Region : India 
%
%  Copyright ©2006 Nokia Corporation. 
%  This material, including documentation and any related 
%  computer programs, is protected by copyright controlled by 
%  Nokia Corporation. All rights are reserved. Copying, 
%  including reproducing, storing,  adapting or translating, any 
%  or all of this material requires the prior written consent of 
%  Nokia Corporation. This material also contains confidential 
%  information which may not be disclosed to others without the 
%  prior written consent of Nokia Corporation. 
%  ============================================================================  

% Modifiers  

% Vowels 
0CA3 0CBC 0C83;[.07AE.0020.0008.0CA3]
% RULE for base consonant 0CA3 in basekeys.txt 
0CA3 0CBC;[.07AF.0020.0008.0CA3]


0CA4 0C82;[.07B0.0020.0002.0CA4]
0CA4 0CBC 0C82;[.07B0.0020.0008.0CA4]
0CA4 0C83;[.07B1.0020.0002.0CA4]
0CA4 0CBC 0C83;[.07B1.0020.0008.0CA4]
% RULE for base consonant 0CA4 in basekeys.txt 
0CA4 0CBC;[.07B2.0020.0008.0CA4]


0CA5 0C82;[.07B3.0020.0002.0CA5]
0CA5 0CBC 0C82;[.07B3.0020.0008.0CA5]
0CA5 0C83;[.07B4.0020.0002.0CA5]
0CA5 0CBC 0C83;[.07B4.0020.0008.0CA5]
% RULE for base consonant 0CA5 in basekeys.txt 
0CA5 0CBC;[.07B5.0020.0008.0CA5]


0CA6 0C82;[.07B6.0020.0002.0CA6]
0CA6 0CBC 0C82;[.07B6.0020.0008.0CA6]
0CA6 0C83;[.07B7.0020.0002.0CA6]
0CA6 0CBC 0C83;[.07B7.0020.0008.0CA6]
% RULE for base consonant 0CA6 in basekeys.txt 
0CA6 0CBC;[.07B8.0020.0008.0CA6]


0CA7 0C82;[.07B9.0020.0002.0CA7]
0CA7 0CBC 0C82;[.07B9.0020.0008.0CA7]
0CA7 0C83;[.07BA.0020.0002.0CA7]
0CA7 0CBC 0C83;[.07BA.0020.0008.0CA7]
% RULE for base consonant 0CA7 in basekeys.txt 
0CA7 0CBC;[.07BB.0020.0008.0CA7]


0CA8 0C82;[.07BC.0020.0002.0CA8]
0CA8 0CBC 0C82;[.07BC.0020.0008.0CA8]
0CA8 0C83;[.07BD.0020.0002.0CA8]
0CA8 0CBC 0C83;[.07BD.0020.0008.0CA8]
% RULE for base consonant 0CA8 in basekeys.txt 
0CA8 0CBC;[.07BE.0020.0008.0CA8]


0CAA 0C82;[.07BF.0020.0002.0CAA]
0CAA 0CBC 0C82;[.07BF.0020.0008.0CAA]
0CAA 0C83;[.07C0.0020.0002.0CAA]
0CAA 0CBC 0C83;[.07C0.0020.0008.0CAA]
% RULE for base consonant 0CAA in basekeys.txt 
0CAA 0CBC;[.07C1.0020.0008.0CAA]


0CAB 0C82;[.07C2.0020.0002.0CAB]
0CAB 0CBC 0C82;[.07C2.0020.0008.0CAB]
0CAB 0C83;[.07C3.0020.0002.0CAB]
0CAB 0CBC 0C83;[.07C3.0020.0008.0CAB]
% RULE for base consonant 0CAB in basekeys.txt 
0CAB 0CBC;[.07C4.0020.0008.0CAB]


0CDE 0C82;[.07C2.0020.0002.0CDE]
0CDE 0CBC 0C82;[.07C2.0020.0008.0CDE]
0CDE 0C83;[.07C3.0020.0002.0CDE]
0CDE 0CBC 0C83;[.07C3.0020.0008.0CDE]
% RULE for base consonant 0CDE in basekeys.txt 
0CDE 0CBC;[.07C4.0020.0008.0CDE]


0CAC 0C82;[.07C5.0020.0002.0CAC]
0CAC 0CBC 0C82;[.07C5.0020.0008.0CAC]
0CAC 0C83;[.07C6.0020.0002.0CAC]
0CAC 0CBC 0C83;[.07C6.0020.0008.0CAC]
% RULE for base consonant 0CAC in basekeys.txt 
0CAC 0CBC;[.07C7.0020.0008.0CAC]


0CAD 0C82;[.07C8.0020.0002.0CAD]
0CAD 0CBC 0C82;[.07C8.0020.0008.0CAD]
0CAD 0C83;[.07C9.0020.0002.0CAD]
0CAD 0CBC 0C83;[.07C9.0020.0008.0CAD]
% RULE for base consonant 0CAD in basekeys.txt 
0CAD 0CBC;[.07CA.0020.0008.0CAD]


0CAE 0C82;[.07CB.0020.0002.0CAE]
0CAE 0CBC 0C82;[.07CB.0020.0008.0CAE]
0CAE 0C83;[.07CC.0020.0002.0CAE]
0CAE 0CBC 0C83;[.07CC.0020.0008.0CAE]
% RULE for base consonant 0CAE in basekeys.txt 
0CAE 0CBC;[.07CD.0020.0008.0CAE]


0CAF 0C82;[.07CE.0020.0002.0CAF]
0CAF 0CBC 0C82;[.07CE.0020.0008.0CAF]
0CAF 0C83;[.07CF.0020.0002.0CAF]
0CAF 0CBC 0C83;[.07CF.0020.0008.0CAF]
% RULE for base consonant 0CAF in basekeys.txt 
0CAF 0CBC;[.07D0.0020.0008.0CAF]


0CB0 0C82;[.07D1.0020.0002.0CB0]
0CB0 0CBC 0C82;[.07D1.0020.0008.0CB0]
0CB0 0C83;[.07D2.0020.0002.0CB0]
0CB0 0CBC 0C83;[.07D2.0020.0008.0CB0]
% RULE for base consonant 0CB0 in basekeys.txt 
0CB0 0CBC;[.07D3.0020.0008.0CB0]


0CB1 0C82;[.07D4.0020.0002.0CB1]
0CB1 0CBC 0C82;[.07D4.0020.0008.0CB1]
0CB1 0C83;[.07D5.0020.0002.0CB1]
0CB1 0CBC 0C83;[.07D5.0020.0008.0CB1]
% RULE for base consonant 0CB1 in basekeys.txt 
0CB1 0CBC;[.07D6.0020.0008.0CB1]


0CB2 0C82;[.07D7.0020.0002.0CB2]
0CB2 0CBC 0C82;[.07D7.0020.0008.0CB2]
0CB2 0C83;[.07D8.0020.0002.0CB2]
0CB2 0CBC 0C83;[.07D8.0020.0008.0CB2]
% RULE for base consonant 0CB2 in basekeys.txt 
0CB2 0CBC;[.07D9.0020.0008.0CB2]


0CB3 0C82;[.07DA.0020.0002.0CB3]
0CB3 0CBC 0C82;[.07DA.0020.0008.0CB3]
0CB3 0C83;[.07DB.0020.0002.0CB3]
0CB3 0CBC 0C83;[.07DB.0020.0008.0CB3]
% RULE for base consonant 0CB3 in basekeys.txt 
0CB3 0CBC;[.07DC.0020.0008.0CB3]


