% ============================================================================
%  This file contains customized sorting keys for non decomposable characters
%  Name     :  SORT_eng_in_basekeys.txt
%  Part of  : S60
%
%  Description : ELOCL.DLL for Indic English ELOCL.186
%  Generated on : 30.5.2006 8:22:48
%  Language : Indic English
%  Region : India
%
%  Copyright ©2006 Nokia Corporation. 
%  This material, including documentation and any related
%  computer programs, is protected by copyright controlled by
%  Nokia Corporation. All rights are reserved. Copying,
%  including reproducing, storing,  adapting or translating, any
%  or all of this material requires the prior written consent of
%  Nokia Corporation. This material also contains confidential
%  information which may not be disclosed to others without the
%  prior written consent of Nokia Corporation.
% ============================================================================


0A6A ; [.01C9.0050.0002.0A6A] % GURMUKHI DIGIT FOUR : Goes after :  BENGALI CURRENCY NUMERATOR FOUR
0AEA ; [.01C9.0050.0002.0AEA] % GUJARATI DIGIT FOUR : Goes after :  GURMUKHI DIGIT FOUR
0B6A ; [.01C9.0050.0002.0B6A] % ORIYA DIGIT FOUR : Goes after :  GUJARATI DIGIT FOUR
0BEA ; [.01C9.0050.0002.0BEA] % TAMIL DIGIT FOUR : Goes after :  ORIYA DIGIT FOUR
0C6A ; [.01C9.0050.0002.0C6A] % TELUGU DIGIT FOUR : Goes after :  TAMIL DIGIT FOUR
0CEA ; [.01C9.0050.0002.0CEA] % KANNADA DIGIT FOUR : Goes after :  TELUGU DIGIT FOUR
0D6A ; [.01C9.0050.0002.0D6A] % MALAYALAM DIGIT FOUR : Goes after :  KANNADA DIGIT FOUR
0E54 ; [.01C9.0050.0002.0E54] % THAI DIGIT FOUR : Goes after :  MALAYALAM DIGIT FOUR
0ED4 ; [.01C9.0050.0002.0ED4] % LAO DIGIT FOUR : Goes after :  THAI DIGIT FOUR
0F24 ; [.01C9.0050.0002.0F24] % TIBETAN DIGIT FOUR : Goes after :  LAO DIGIT FOUR
3024 ; [.01C9.0050.0002.3024] % HANGZHOU NUMERAL FOUR : Goes after :  TIBETAN DIGIT FOUR
0035 ; [.01CA.0050.0002.0035] % DIGIT FIVE : Goes after :  HANGZHOU NUMERAL FOUR
FF15 ; [.01CA.0050.0003.FF15] % FULLWIDTH DIGIT FIVE : Goes after :  DIGIT FIVE
