% ============================================================================
%  |||| This file is generated by UCAMaker ||||
%  It contains customized sorting keys for non decomposable characters
%  Name     :  col_hi_IN_basekeys.txt
%  Part of  : S60
%
%  Description : ELOCL.DLL for ELangHindi, ELOCL.58
%  Generated on : 1.12.2005 13:52:09
%  Language : Hindi
%  Region : India
%
%  Copyright ©2005 Nokia Corporation. 
%  This material, including documentation and any related
%  computer programs, is protected by copyright controlled by
%  Nokia Corporation. All rights are reserved. Copying,
%  including reproducing, storing,  adapting or translating, any
%  or all of this material requires the prior written consent of
%  Nokia Corporation. This material also contains confidential
%  information which may not be disclosed to others without the
%  prior written consent of Nokia Corporation.
% ============================================================================



         % RULE in strings.txt:  DEVANAGARI LETTER NNNA : Goes after :  DEVANAGARI LETTER NA
092A ; [.0B5D.0020.0002.092A] % DEVANAGARI LETTER PA : Goes after :  DEVANAGARI LETTER NNNA
092B ; [.0B5F.0020.0002.092B] % DEVANAGARI LETTER PHA : Goes after :  DEVANAGARI LETTER PA
         % RULE in strings.txt:  DEVANAGARI LETTER FA : Goes after :  DEVANAGARI LETTER PHA
         % RULE in strings.txt:  DEVANAGARI LETTER FA : Goes after :  DEVANAGARI LETTER FA
092C ; [.0B65.0020.0002.092C] % DEVANAGARI LETTER BA : Goes after :  DEVANAGARI LETTER FA
092D ; [.0B67.0020.0002.092D] % DEVANAGARI LETTER BHA : Goes after :  DEVANAGARI LETTER BA
092E ; [.0B69.0020.0002.092E] % DEVANAGARI LETTER MA : Goes after :  DEVANAGARI LETTER BHA
092F ; [.0B6B.0020.0002.092F] % DEVANAGARI LETTER YA : Goes after :  DEVANAGARI LETTER MA
         % RULE in strings.txt:  DEVANAGARI LETTER YYA : Goes after :  DEVANAGARI LETTER YA
0930 ; [.0B6F.0020.0002.0930] % DEVANAGARI LETTER RA : Goes after :  DEVANAGARI LETTER YYA
         % RULE in strings.txt:  DEVANAGARI LETTER RRA : Goes after :  DEVANAGARI LETTER RA
0932 ; [.0B73.0020.0002.0932] % DEVANAGARI LETTER LA : Goes after :  DEVANAGARI LETTER RRA
0933 ; [.0B75.0020.0002.0933] % DEVANAGARI LETTER LLA : Goes after :  DEVANAGARI LETTER LA
         % RULE in strings.txt:  DEVANAGARI LETTER LLLA : Goes after :  DEVANAGARI LETTER LLA
0935 ; [.0B79.0020.0002.0935] % DEVANAGARI LETTER VA : Goes after :  DEVANAGARI LETTER LLLA
0936 ; [.0B7B.0020.0002.0936] % DEVANAGARI LETTER SHA : Goes after :  DEVANAGARI LETTER VA
